,Domain,Phylum,Class,Order,Family,Genus,species,FamGenSpASV,PhyOrdFam
ASV1343,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,uncultured_organism,Solirubrobacterales; 67-14; 67-14; uncultured_organism; ASV1343,Actinobacteriota; Solirubrobacterales; 67-14
ASV1344,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,uncultured_Ktedobacteria,Ktedonobacterales; Ktedonobacteraceae; uncultured_Ktedobacteria; ASV1344,Chloroflexi; Ktedonobacterales; Ktedonobacteraceae
ASV1345,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV1345,Proteobacteria; Rhizobiales; Devosiaceae
ASV1346,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,,Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; ASV1346,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1347,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,Deinococcales; Deinococcaceae; Deinococcus; ASV1347,Deinococcota; Deinococcales; Deinococcaceae
ASV1348,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,Propionibacteriales; Nocardioidaceae; Nocardioides; ASV1348,Actinobacteriota; Propionibacteriales; Nocardioidaceae
ASV1349,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,metagenome,Rhizobiales; Beijerinckiaceae; Psychroglaciecola; metagenome; ASV1349,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1350,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,Desulfomonile,uncultured_bacterium,Desulfomonilales; Desulfomonilaceae; Desulfomonile; uncultured_bacterium; ASV1350,Desulfobacterota; Desulfomonilales; Desulfomonilaceae
ASV1351,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,,Lactobacillales; Leuconostocaceae; Weissella; ASV1351,Firmicutes; Lactobacillales; Leuconostocaceae
ASV1352,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,uncultured_Rhodocista,Azospirillales; Azospirillaceae; Niveispirillum; uncultured_Rhodocista; ASV1352,Proteobacteria; Azospirillales; Azospirillaceae
ASV1353,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,uncultured_bacterium,Bacteroidales; Dysgonomonadaceae; Dysgonomonas; uncultured_bacterium; ASV1353,Bacteroidota; Bacteroidales; Dysgonomonadaceae
ASV1354,Bacteria,Firmicutes,Clostridia,,,,,ASV1354,Firmicutes
ASV1355,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,uncultured_Singulisphaera,Isosphaerales; Isosphaeraceae; Tundrisphaera; uncultured_Singulisphaera; ASV1355,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV1356,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV1356,Firmicutes; Lactobacillales; Streptococcaceae
ASV1357,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales; ASV1357,Firmicutes; Lactobacillales
ASV1358,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium,RsaHf231; RsaHf231; RsaHf231; uncultured_bacterium; ASV1358,Firmicutes; RsaHf231; RsaHf231
ASV1359,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV1359,Firmicutes; Clostridiales; Clostridiaceae
ASV1360,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV1360,Firmicutes; Lactobacillales; Streptococcaceae
ASV1361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_limi,Rhizobiales; Devosiaceae; Devosia; Devosia_limi; ASV1361,Proteobacteria; Rhizobiales; Devosiaceae
ASV1362,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1362,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1363,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,,Solirubrobacterales; Solirubrobacteraceae; Conexibacter; ASV1363,Actinobacteriota; Solirubrobacterales; Solirubrobacteraceae
ASV1364,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Aquipuribacter,uncultured_bacterium,Micrococcales; Intrasporangiaceae; Aquipuribacter; uncultured_bacterium; ASV1364,Actinobacteriota; Micrococcales; Intrasporangiaceae
ASV1365,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oleispira,uncultured_bacterium,Oceanospirillales; Saccharospirillaceae; Oleispira; uncultured_bacterium; ASV1365,Proteobacteria; Oceanospirillales; Saccharospirillaceae
ASV1366,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,,Bryobacterales; Bryobacteraceae; Bryobacter; ASV1366,Acidobacteriota; Bryobacterales; Bryobacteraceae
ASV1367,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,Sphingomonadales; Sphingomonadaceae; Sphingopyxis; ASV1367,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV1368,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,,Sphingomonadales; Sphingomonadaceae; Porphyrobacter; ASV1368,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV1369,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,,Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; ASV1369,Proteobacteria; Rhizobiales; Hyphomicrobiaceae
ASV1370,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1370,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1371,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1371,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1372,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,,Chlamydiales; Parachlamydiaceae; ASV1372,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV1373,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Acidiphilium; uncultured_bacterium; ASV1373,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV1374,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV1374,Firmicutes; Lactobacillales; Streptococcaceae
ASV1375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_limi,Rhizobiales; Devosiaceae; Devosia; Devosia_limi; ASV1375,Proteobacteria; Rhizobiales; Devosiaceae
ASV1376,Bacteria,Firmicutes,,,,,,ASV1376,Firmicutes
ASV1377,Bacteria,Firmicutes,Clostridia,Clostridia,Hungateiclostridiaceae,,,Clostridia; Hungateiclostridiaceae; ASV1377,Firmicutes; Clostridia; Hungateiclostridiaceae
ASV1378,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriales,Cardiobacteriales,uncultured_bacterium,Cardiobacteriales; Cardiobacteriales; Cardiobacteriales; uncultured_bacterium; ASV1378,Proteobacteria; Cardiobacteriales; Cardiobacteriales
ASV1379,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV1379,Proteobacteria; Rhizobiales; Devosiaceae
ASV1380,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1380,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1381,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,,Eubacteriales; Eubacteriaceae; Acetobacterium; ASV1381,Firmicutes; Eubacteriales; Eubacteriaceae
ASV1382,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome,Chlamydiales; Parachlamydiaceae; Neochlamydia; metagenome; ASV1382,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV1383,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,uncultured_bacterium,Saccharimonadales; Saccharimonadaceae; TM7a; uncultured_bacterium; ASV1383,Patescibacteria; Saccharimonadales; Saccharimonadaceae
ASV1384,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,,Candidatus_Ovatusbacter,uncultured_proteobacterium,Gammaproteobacteria_Incertae_Sedis; Candidatus_Ovatusbacter; uncultured_proteobacterium; ASV1384,Proteobacteria; Gammaproteobacteria_Incertae_Sedis
ASV1385,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV1385,Planctomycetota; Gemmatales; Gemmataceae
ASV1386,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1386,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1387,Bacteria,Cyanobacteria,Cyanobacteriia,,,,,ASV1387,Cyanobacteria
ASV1388,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,,Chlamydiales; Parachlamydiaceae; ASV1388,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV1389,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,ASV1389,Proteobacteria
ASV1390,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,,,uncultured_planctomycete,Planctomycetales; uncultured_planctomycete; ASV1390,Planctomycetota; Planctomycetales
ASV1391,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV1391,Firmicutes; Lactobacillales; Streptococcaceae
ASV1392,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,,Sphingobacteriales; env.OPS_17; env.OPS_17; ASV1392,Bacteroidota; Sphingobacteriales; env.OPS_17
ASV1393,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,Taibaiella_sp.,Chitinophagales; Chitinophagaceae; Taibaiella; Taibaiella_sp.; ASV1393,Bacteroidota; Chitinophagales; Chitinophagaceae
ASV1394,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV1394,Planctomycetota; Gemmatales; Gemmataceae
ASV1395,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV1395,Proteobacteria; Burkholderiales; Comamonadaceae
ASV1396,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV1396,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV1397,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV1397,Firmicutes; Clostridiales; Clostridiaceae
ASV1398,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV1398,Firmicutes; Lactobacillales; Streptococcaceae
ASV1399,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; ASV1399,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV1400,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,,Rhizobiales; Rhizobiaceae; Mesorhizobium; ASV1400,Proteobacteria; Rhizobiales; Rhizobiaceae
ASV1401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,Rhizobiales; Xanthobacteraceae; ASV1401,Proteobacteria; Rhizobiales; Xanthobacteraceae
ASV1402,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus_Protochlamydia,,Chlamydiales; Parachlamydiaceae; Candidatus_Protochlamydia; ASV1402,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV1403,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1403,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1404,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; ASV1404,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV1405,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,Burkholderiales; Oxalobacteraceae; Janthinobacterium; ASV1405,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,,Rhizobiales; Methyloligellaceae; ASV1406,Proteobacteria; Rhizobiales; Methyloligellaceae
ASV1407,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,,Burkholderiales; Rhodocyclaceae; Zoogloea; ASV1407,Proteobacteria; Burkholderiales; Rhodocyclaceae
ASV1408,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,,,Burkholderiales; Oxalobacteraceae; ASV1408,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV1409,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured_bacterium,Legionellales; Legionellaceae; Legionella; uncultured_bacterium; ASV1409,Proteobacteria; Legionellales; Legionellaceae
ASV1410,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Fonticella,uncultured_bacterium,Clostridiales; Caloramatoraceae; Fonticella; uncultured_bacterium; ASV1410,Firmicutes; Clostridiales; Caloramatoraceae
ASV1411,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,Corynebacteriales; Mycobacteriaceae; Mycobacterium; ASV1411,Actinobacteriota; Corynebacteriales; Mycobacteriaceae
ASV1412,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,Burkholderiales; Oxalobacteraceae; Massilia; ASV1412,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV1413,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,,,Burkholderiales; Oxalobacteraceae; ASV1413,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV1414,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured_bacterium,Gemmatimonadales; Gemmatimonadaceae; Gemmatimonas; uncultured_bacterium; ASV1414,Gemmatimonadota; Gemmatimonadales; Gemmatimonadaceae
ASV1415,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,,Paenibacillales; Paenibacillaceae; Paenibacillus; ASV1415,Firmicutes; Paenibacillales; Paenibacillaceae
ASV1416,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV1416,Proteobacteria; Burkholderiales; Comamonadaceae
ASV1417,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,,Chlamydiales; Parachlamydiaceae; ASV1417,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV1418,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,Lactobacillales; Streptococcaceae; Lactococcus; ASV1418,Firmicutes; Lactobacillales; Streptococcaceae
ASV1419,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Schlesneria,uncultured_bacterium,Planctomycetales; Schlesneriaceae; Schlesneria; uncultured_bacterium; ASV1419,Planctomycetota; Planctomycetales; Schlesneriaceae
ASV1420,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,Nannocystis_exedens,Nannocystales; Nannocystaceae; Nannocystis; Nannocystis_exedens; ASV1420,Myxococcota; Nannocystales; Nannocystaceae
ASV1421,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV1421,Firmicutes; Clostridiales; Clostridiaceae
ASV1422,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,metagenome,Microtrichales; Ilumatobacteraceae; CL500-29_marine_group; metagenome; ASV1422,Actinobacteriota; Microtrichales; Ilumatobacteraceae
ASV1423,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,Corynebacteriales; Corynebacteriaceae; Corynebacterium; ASV1423,Actinobacteriota; Corynebacteriales; Corynebacteriaceae
ASV1424,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales; ASV1424,Firmicutes; Lactobacillales
ASV1425,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,,IMCC26256; IMCC26256; IMCC26256; ASV1425,Actinobacteriota; IMCC26256; IMCC26256
ASV1426,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured_bacterium,Solirubrobacterales; Solirubrobacteraceae; Solirubrobacter; uncultured_bacterium; ASV1426,Actinobacteriota; Solirubrobacterales; Solirubrobacteraceae
ASV1427,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_limi,Rhizobiales; Devosiaceae; Devosia; Devosia_limi; ASV1427,Proteobacteria; Rhizobiales; Devosiaceae
ASV1428,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,metagenome,Pirellulales; Pirellulaceae; metagenome; ASV1428,Planctomycetota; Pirellulales; Pirellulaceae
ASV1429,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,,SAR11_clade; Clade_I; Clade_Ia; ASV1429,Proteobacteria; SAR11_clade; Clade_I
ASV1430,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Corallomonas,,Oceanospirillales; Nitrincolaceae; Corallomonas; ASV1430,Proteobacteria; Oceanospirillales; Nitrincolaceae
ASV1431,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Peptoniphilus,Peptoniphilus_lacrimalis,Peptostreptococcales-Tissierellales; Peptostreptococcales-Tissierellales; Peptoniphilus; Peptoniphilus_lacrimalis; ASV1431,Firmicutes; Peptostreptococcales-Tissierellales; Peptostreptococcales-Tissierellales
ASV1432,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,metagenome,Gemmatales; Gemmataceae; Fimbriiglobus; metagenome; ASV1432,Planctomycetota; Gemmatales; Gemmataceae
ASV1433,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,,uncultured_bacterium,Diplorickettsiales; Diplorickettsiaceae; uncultured_bacterium; ASV1433,Proteobacteria; Diplorickettsiales; Diplorickettsiaceae
ASV1434,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,Legionellales; Legionellaceae; Legionella; ASV1434,Proteobacteria; Legionellales; Legionellaceae
ASV1435,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_limi,Rhizobiales; Devosiaceae; Devosia; Devosia_limi; ASV1435,Proteobacteria; Rhizobiales; Devosiaceae
ASV1436,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,,Gemmatales; Gemmataceae; Gemmata; ASV1436,Planctomycetota; Gemmatales; Gemmataceae
ASV1437,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV1437,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV1438,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,Sphingomonadales; Sphingomonadaceae; Sphingomonas; ASV1438,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV1439,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,Caulobacterales; Caulobacteraceae; Caulobacter; ASV1439,Proteobacteria; Caulobacterales; Caulobacteraceae
ASV1440,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV1440,Firmicutes; Clostridiales; Clostridiaceae
ASV1441,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,,Solirubrobacterales; 67-14; 67-14; ASV1441,Actinobacteriota; Solirubrobacterales; 67-14
ASV1442,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,uncultured_bacterium,Corynebacteriales; Corynebacteriaceae; Turicella; uncultured_bacterium; ASV1442,Actinobacteriota; Corynebacteriales; Corynebacteriaceae
ASV1443,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,,Verrucomicrobiales; Rubritaleaceae; Luteolibacter; ASV1443,Verrucomicrobiota; Verrucomicrobiales; Rubritaleaceae
ASV1444,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV1444,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1445,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,uncultured_bacterium,Rhizobiales; Beijerinckiaceae; 1174-901-12; uncultured_bacterium; ASV1445,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1446,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Lactobacillales; Enterococcaceae; Enterococcus; ASV1446,Firmicutes; Lactobacillales; Enterococcaceae
ASV1447,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_nitritireducens,Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas_nitritireducens; ASV1447,Proteobacteria; Xanthomonadales; Xanthomonadaceae
ASV1448,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,uncultured_bacterium,Chthoniobacterales; Chthoniobacteraceae; LD29; uncultured_bacterium; ASV1448,Verrucomicrobiota; Chthoniobacterales; Chthoniobacteraceae
ASV1449,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,uncultured_Methylobacterium,Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; uncultured_Methylobacterium; ASV1449,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV1450,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Candidatus_Nostocoida,uncultured_bacterium,Isosphaerales; Isosphaeraceae; Candidatus_Nostocoida; uncultured_bacterium; ASV1450,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV1451,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,,Thermomicrobiales; JG30-KF-CM45; JG30-KF-CM45; ASV1451,Chloroflexi; Thermomicrobiales; JG30-KF-CM45
ASV1452,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,,Rhizobiales; Devosiaceae; Devosia; ASV1452,Proteobacteria; Rhizobiales; Devosiaceae
ASV1453,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,,,,Oligoflexales; ASV1453,Bdellovibrionota; Oligoflexales
ASV1454,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,,Pirellulales; Pirellulaceae; Pirellula; ASV1454,Planctomycetota; Pirellulales; Pirellulaceae
ASV1455,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; ASV1455,Actinobacteriota; Pseudonocardiales; Pseudonocardiaceae
ASV1456,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,,Acetobacterales; Acetobacteraceae; Roseomonas; ASV1456,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV1457,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,Sphingobacteriales; Sphingobacteriaceae; Pedobacter; ASV1457,Bacteroidota; Sphingobacteriales; Sphingobacteriaceae
ASV1458,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; ASV1458,Firmicutes; Clostridiales; Clostridiaceae
ASV1459,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,Propionibacteriales; Nocardioidaceae; Nocardioides; ASV1459,Actinobacteriota; Propionibacteriales; Nocardioidaceae
ASV1460,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,,,,Frankiales; ASV1460,Actinobacteriota; Frankiales
ASV1461,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,,bacterium_enrichment,Diplorickettsiales; Diplorickettsiaceae; bacterium_enrichment; ASV1461,Proteobacteria; Diplorickettsiales; Diplorickettsiaceae
ASV1462,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,,uncultured_bacterium,Isosphaerales; Isosphaeraceae; uncultured_bacterium; ASV1462,Planctomycetota; Isosphaerales; Isosphaeraceae
